first_name,last_name,major,gpa
Rhea,Kellems,Database Administration,2.5
Emma,Gilbert,,
Kimberly,Whitley,Web Development,3.8
Jimmy,Felipe,Database Administration,3.7
Kyle,Stimson,,2.8
Casares,Hijo,Game Design,4.0
Noe,Savage,,3.6
Sterling,Boss,Game Design,3.9
Brian,Davis,,2.3
Kaija,Uronen,Game Design,3.7
Faye,Conn,Game Design,2.1
Efren,Reilly,Web Development,3.9
Danh,Nhung,,2.4
Maxine,Hagenes,Database Administration,2.9
Larry,Saunders,Data Science,2.2
Karl,Kuhar,Web Development,
Lieke,Hazenveld,Game Design,3.5
Obie,Hilpert,Web Development,
Peter,Booysen,,2.9
Nathan,Turner,Database Administration,3.3
Gerald,Osiki,Data Science,2.2
Vanya,Hassanah,Game Design,4.0
Roxelana,Florescu,Database Administration,3.2
Helene,Parker,Data Science,3.4
Mariana,Russel,Web Development,1.8
Ajit,Dhungel,,3.0
Mehdi,Vandenberghe,Database Administration,1.9
Dejon,Howell,Web Development,4.0
Aliya,Gulgowski,System Administration,2.6
Ana,Tupajic,Data Science,3.1
Hugo,Duran,,3.8
